name,group,prep_col,description,val_accuracy,val_f1_macro,val_f1_fox,val_f1_nbc,val_prec_mac,val_rec_mac,elapsed_s
G3_LR_w12_mf5000_C2.0,G3_LR_regularization,headline_lowercase,"word (1,2), mf=5000, C=2.0",0.7956955869419008,0.7738136610505203,0.8441655814687661,0.7034617406322745,0.7832204289486843,0.76770407107532,12.288
G4_SVM_cal_w12_mf5000_C1.0,G4_SVM_calibrated,headline_lowercase,"CalibratedSVC (sigmoid), word (1,2), mf=5000, C=1.0",0.7961094728128718,0.7737205327335841,0.8448974772718328,0.7025435881953355,0.7842300751161935,0.7671250519215009,7.016
G4_CNG_SVM_c46_mf5000_C0.1,G4_CNG_svm,headline_lowercase,"char_wb (4,6), mf=5000, LinearSVC C=0.1",0.7950747581354441,0.7730454069413418,0.8437536980789713,0.7023371158037124,0.782587511105703,0.7668835311859556,38.476
G4_SVM_cal_w12_mf5000_C5.0,G4_SVM_calibrated,headline_lowercase,"CalibratedSVC (sigmoid), word (1,2), mf=5000, C=5.0",0.7954369082725439,0.7728179552456502,0.844502123643228,0.7011337868480726,0.7836138321876894,0.7661129724544744,13.751
G4_SVM_cal_w12_mf5000_C0.1,G4_SVM_calibrated,headline_lowercase,"CalibratedSVC (sigmoid), word (1,2), mf=5000, C=0.1",0.79491955093383,0.7725721638156222,0.8438632424767607,0.7012810851544838,0.7826966407034266,0.7661581027547466,3.09
G2_CNG_LR_c46_mf5000_lower,G2_CNG_feature_count,headline_lowercase,"char_wb (4,6), mf=5000, LR C=1",0.7945574007967303,0.7723259027404913,0.8434703772320549,0.7011814282489277,0.7821338694268225,0.7660539652365368,35.645
G1_CNG_LR_c46_mf5000_lower,G1_CNG_ngram_range,headline_lowercase,"char_wb (4, 6), mf=5000, LR C=1, lowercase input",0.7945574007967303,0.7723259027404913,0.8434703772320549,0.7011814282489277,0.7821338694268225,0.7660539652365368,36.96
G1_SVM_w12_mf5000_C0.1,G1_SVM_regularization,headline_lowercase,"LinearSVC, word (1,2), mf=5000, C=0.1",0.7956438512080294,0.7722319295116344,0.8452558175977435,0.6992080414255254,0.7847057888741631,0.7648582808089401,15.797
G3_SVM_w11_mf5000_C1,G3_SVM_ngrams,headline_lowercase,"LinearSVC, word (1, 1), mf=5000, C=1",0.7921775570386466,0.7719237709641362,0.8398899916297979,0.7039575502984745,0.7776274355335763,0.7677093377207261,1.22
G3_LR_w12_mf5000_C1.0,G3_LR_regularization,headline_lowercase,"word (1,2), mf=5000, C=1.0",0.7942987221273734,0.77078352249165,0.8442006269592477,0.6973664180240524,0.783092140513172,0.7634976845470665,11.856
G2_LR_w12_mf5000,G2_LR_ngrams,headline_lowercase,"word (1, 2)-grams, mf=5000, C=1",0.7942987221273734,0.77078352249165,0.8442006269592477,0.6973664180240524,0.783092140513172,0.7634976845470665,13.188
G4_LR_w12_mf5000_prep_minimal,G4_LR_preprocessing,headline_minimal,"word (1,2), mf=5000, C=1, prep=minimal",0.7942987221273734,0.77078352249165,0.8442006269592477,0.6973664180240524,0.783092140513172,0.7634976845470665,12.318
G4_LR_w12_mf5000_prep_nopunct,G4_LR_preprocessing,headline_nopunct,"word (1,2), mf=5000, C=1, prep=nopunct",0.7942987221273734,0.77078352249165,0.8442006269592477,0.6973664180240524,0.783092140513172,0.7634976845470665,11.958
G4_LR_w12_mf5000_prep_lowercase,G4_LR_preprocessing,headline_lowercase,"word (1,2), mf=5000, C=1, prep=lowercase",0.7942987221273734,0.77078352249165,0.8442006269592477,0.6973664180240524,0.783092140513172,0.7634976845470665,12.17
G1_CNG_LR_c47_mf5000_lower,G1_CNG_ngram_range,headline_lowercase,"char_wb (4, 7), mf=5000, LR C=1, lowercase input",0.7930053287805887,0.7705400571578473,0.8423375497497734,0.6987425645659212,0.7804190328614842,0.7642589920001042,43.124
G2_LR_w13_mf5000,G2_LR_ngrams,headline_lowercase,"word (1, 3)-grams, mf=5000, C=1",0.7939365719902737,0.7703375479060643,0.8439569049951028,0.6967181908170258,0.7827170608208762,0.7630316037531224,15.806
G2_MNB_w12_mf20000_a0.1,G2_MNB_feature_count,headline_lowercase,"MNB alpha=0.1, word (1,2), mf=20000, norm=None",0.7766568368772311,0.7691925097903641,0.810699408024556,0.7276856115561723,0.7667053333218211,0.7854110180162237,11.491
G1_LR_w11_mf5000,G1_LR_feature_count,headline_lowercase,"word unigrams, mf=5000, C=1",0.7921258213047752,0.7682937218944275,0.842604199310561,0.693983244478294,0.7806438200950763,0.761032981119492,5.128
G2_LR_w11_mf5000,G2_LR_ngrams,headline_lowercase,"word (1, 1)-grams, mf=5000, C=1",0.7921258213047752,0.7682937218944275,0.842604199310561,0.693983244478294,0.7806438200950763,0.761032981119492,5.404
G1_CNG_LR_c57_mf5000_lower,G1_CNG_ngram_range,headline_lowercase,"char_wb (5, 7), mf=5000, LR C=1, lowercase input",0.7886595271353924,0.7651974500477567,0.8394197885136995,0.690975111581814,0.7759059731337378,0.7586358605331314,20.53
G1_SVM_w12_mf5000_C0.05,G1_SVM_regularization,headline_lowercase,"LinearSVC, word (1,2), mf=5000, C=0.05",0.7908324279579906,0.7640513879271246,0.8435432065322549,0.6845595693219942,0.782284099765874,0.7549173663335791,12.869
G3_LR_w12_mf5000_C0.5,G3_LR_regularization,headline_lowercase,"word (1,2), mf=5000, C=0.5",0.7899011847483056,0.7632239589258919,0.8427005461517605,0.6837473717000233,0.7809019008894995,0.7542747143226006,11.761
G2_MNB_w12_mf10000_a0.1,G2_MNB_feature_count,headline_lowercase,"MNB alpha=0.1, word (1,2), mf=10000, norm=None",0.7669822546432821,0.7594742555516591,0.8019697502638058,0.7169787608395124,0.7575295599419679,0.7758943283634219,11.384
G4_MNB_w12_mf5000_prep_nostop,G4_MNB_preprocessing,headline_nostop,"MNB alpha=0.1, word (1,2), mf=5000, prep=nostop",0.7601014020383879,0.7526721716560494,0.7955377221217866,0.7098066211903122,0.7512443410675262,0.769451748450047,10.73
G2_SVM_w12_mf2000_C1,G2_SVM_feature_count,headline_lowercase,"LinearSVC, word (1,2), mf=2000, C=1",0.7766051011433597,0.7516511614100334,0.8303739786297926,0.6729283441902743,0.7621453492690744,0.7453755561681497,3.135
G4_MNB_w12_mf5000_prep_lemma,G4_MNB_preprocessing,headline_lemma,"MNB alpha=0.1, word (1,2), mf=5000, prep=lemma",0.7584975942883749,0.7510232993640852,0.7941617426580827,0.7078848560700877,0.7496412073773975,0.7677366930927529,10.463
G2_CNG_LR_c46_mf2000_lower,G2_CNG_feature_count,headline_lowercase,"char_wb (4,6), mf=2000, LR C=1",0.7736561643126908,0.7480873510296846,0.82834386157649,0.6678308404828791,0.7589467418814435,0.741726827695736,26.339
G3_MNB_w13_mf5000_a0.1,G3_MNB_ngrams,headline_lowercase,"MNB alpha=0.1, word (1, 3), mf=5000, norm=None",0.7536344353044648,0.7458680878626455,0.7902941694556984,0.7014420062695925,0.7444465678184071,0.7620380441674743,17.824
G1_MNB_w12_mf5000_a0.5,G1_MNB_alpha,headline_lowercase,"MNB alpha=0.5, word (1,2), mf=5000, norm=None",0.7532722851673651,0.7458091413225243,0.7893644273662824,0.7022538552787663,0.7447653292055503,0.762657793200733,10.421
