name,val_f1_macro,val_accuracy,val_f1_fox,val_f1_nbc
TUNE_HYB_word12_char36_wmf10000_cmf10000_C0.5_none,0.8367080864120289,0.8491386000310415,0.8817614143216285,0.7916547585024293
TUNE_HYB_word12_char36_wmf10000_cmf10000_C1.0_none,0.8366162763750971,0.8490351285632987,0.8816611241787655,0.7915714285714286
TUNE_HYB_word12_char36_wmf10000_cmf10000_C1.0_bal,0.8362484275615034,0.8443789125148741,0.8727365036385175,0.7997603514844894
TUNE_HYB_word12_char36_wmf10000_cmf10000_C1.5_bal,0.8357879693224016,0.8441202338455172,0.8727779419837014,0.7987979966611019
TUNE_HYB_word12_char36_wmf10000_cmf10000_C1.5_none,0.8357504873645389,0.8481556210874851,0.8808895742867578,0.79061140044232
TUNE_HYB_word12_char36_wmf10000_cmf10000_C2.0_bal,0.8350249529169962,0.8433959335713177,0.8721868006587004,0.7978631051752921
TUNE_HYB_word12_char36_wmf10000_cmf10000_C2.0_none,0.8349771644120384,0.8474313208132858,0.8803117009618897,0.7896426278621871
TUNE_HYB_word12_char36_wmf10000_cmf10000_C0.5_bal,0.8349100819812498,0.8427233690309897,0.8708251890881278,0.7989949748743719
TUNE_HYB_word12_char46_wmf10000_cmf10000_C2.0_bal,0.8341692136464338,0.8425681618293756,0.871489505468981,0.7968489218238868
TUNE_HYB_word12_char46_wmf10000_cmf10000_C1.5_none,0.8338474535692487,0.8464483418697294,0.8796040889177349,0.7880908182207625
TUNE_HYB_word12_char46_wmf10000_cmf10000_C1.0_bal,0.8333768178238876,0.8414817114180765,0.8701254662597491,0.796628169388026
TUNE_HYB_word12_char46_wmf10000_cmf10000_C1.0_none,0.833084293664214,0.84572404159553,0.879016553067186,0.7871520342612419
TUNE_HYB_word12_char46_wmf10000_cmf10000_C2.0_none,0.832810677948751,0.8453618914584303,0.8786192893401015,0.7870020665574005
TUNE_HYB_word12_char46_wmf10000_cmf10000_C1.5_bal,0.8321858706040861,0.8404987324745201,0.8695357792729889,0.7948359619351834
TUNE_HYB_word12_char35_wmf5000_cmf5000_C1.5_bal,0.8320009692248693,0.8400848466035491,0.8688531545674403,0.7951487838822984
TUNE_HYB_word12_char36_wmf5000_cmf5000_C1.5_bal,0.8318802801780207,0.8400848466035491,0.8690198737234629,0.7947406866325786
TUNE_HYB_word12_char46_wmf10000_cmf10000_C0.5_none,0.8316236819515326,0.8445858554503596,0.8783411631297586,0.7849062007733066
TUNE_HYB_word12_char35_wmf5000_cmf5000_C2.0_bal,0.8315377390191254,0.8397744322003208,0.8687878659492437,0.794287612089007
TUNE_HYB_word12_char36_wmf5000_cmf5000_C2.0_bal,0.8313720651041646,0.839670960732578,0.8687809628657324,0.7939631673425969
TUNE_HYB_word12_char46_wmf10000_cmf10000_C0.5_bal,0.8313225083916176,0.8391018676599927,0.8675468483816013,0.7950981684016339
TUNE_HYB_word12_char35_wmf5000_cmf5000_C1.0_bal,0.8311749381984476,0.8391536033938641,0.8678764183417619,0.7944734580551333
TUNE_HYB_word12_char36_wmf5000_cmf5000_C1.0_bal,0.8309177624840167,0.8389466604583786,0.8677626269062487,0.7940728980617847
TUNE_HYB_word12_char35_wmf5000_cmf5000_C2.0_none,0.8302529607139263,0.8434476693051891,0.8775790921595599,0.7829268292682927
TUNE_HYB_word12_char35_wmf5000_cmf5000_C1.5_none,0.8298361095149551,0.843033783434218,0.8772256393654905,0.7824465796644199
TUNE_HYB_word12_char35_wmf5000_cmf5000_C1.0_none,0.8297776127066823,0.8431372549019608,0.8774652440995797,0.7820899813137847
TUNE_HYB_word12_char35_wmf5000_cmf5000_C0.5_bal,0.8297133713813503,0.8374463241761084,0.8660013647219379,0.7934253780407626
TUNE_HYB_word12_char36_wmf5000_cmf5000_C1.0_none,0.8296466733201152,0.8429820477003467,0.8773092937704653,0.7819840528697651
TUNE_HYB_word12_char36_wmf5000_cmf5000_C1.5_none,0.8295608944309367,0.8429820477003467,0.8773885993616936,0.7817331895001798
TUNE_HYB_word12_char36_wmf5000_cmf5000_C2.0_none,0.8294670889757385,0.8429303119664753,0.8773828756058158,0.7815513023456613
TUNE_HYB_word12_char35_wmf5000_cmf5000_C0.5_none,0.829344743782103,0.842619897563247,0.8769417475728155,0.7817477399913905
